country,rate
Canada,na
Sao Tome and Principe,52.0
Turkmenistan,na
Saint Helena,na
West Bank and Gaza,na
Lithuania,25.0
Cambodia,95.0
Switzerland,na
Ethiopia,56.0
Aruba,na
Swaziland,83.0
Svalbard and Jan Mayen Islands,na
Argentina,79.0
Bolivia,15.0
Cameroon,41.0
Burkina Faso,57.0
Ghana,47.0
Saudi Arabia,na
Japan,na
Channel Islands,na
American Samoa,na
Northern Mariana Islands,na
Slovenia,na
Guatemala,56.0
Bosnia and Herzegovina,na
Guinea,58.0
Russian Federation,na
Jordan,na
Dominica,na
Liberia,38.0
Maldives,22.0
Pakistan,10.0
Oman,na
Tanzania,40.0
Zambia,82.0
United States Virgin Islands,na
Greenland,na
Gabon,53.0
Niue,na
Monaco,na
New Zealand,na
Yemen,8.0
Jamaica,60.0
Albania,na
Samoa,na
Slovak Republic,na
United Arab Emirates,na
Guam,na
Uruguay,41.0
India,na
Azerbaijan,28.0
Madagascar,3.0
Lesotho,58.0
Saint Vincent and the Grenadines,na
Kenya,72.0
Tajikistan,22.0
Turkey,50.0
Afghanistan,6.0
South-Sudan,6.0
Bangladesh,31.0
Mauritania,21.0
Solomon Islands,na
Turks and Caicos Islands,na
Saint Lucia,na
San Marino,na
French Polynesia,na
France,na
Bermuda,na
Somalia,7.0
Peru,60.0
Laos,53.0
Nauru,na
Seychelles,na
Norway,na
Malawi,67.0
Cook Islands,na
Benin,61.0
Western Sahara,na
Cuba,95.0
Montenegro,na
Saint Kitts and Nevis,na
Togo,42.0
China,na
Armenia,22.0
Congo Dem. Rep. of,na
Timor-Leste,na
Dominican Republic,80.0
Hong Kong SAR,na
Nigeria,30.0
Ukraine,22.0
Bahrain,na
Tonga,na
Finland,na
Libya,na
Cayman Islands,na
Central African Republic,22.0
Mauritius,37.0
Liechtenstein,na
Australia,na
British Virgin Islands,na
Mali,53.0
Sweden,na
Bulgaria,25.0
United States,na
Romania,74.0
Angola,36.0
Chad,34.0
South Africa,66.0
Tokelau,na
Cyprus,na
Brunei Darussalam,na
Qatar,na
Macedonia former Yugoslav Republic of,na
Austria,na
Vietnam,58.0
Mozambique,46.0
Uganda,54.0
Kyrgyz Republic,23.0
Hungary,na
Niger,34.0
Isle of Man,na
Brazil,71.0
Taiwan Province of China,na
Falkland Islands,na
Pitcairn,na
The Bahamas,na
Panama,49.0
Costa Rica,73.0
Luxembourg,na
Cape Verde,46.0
Andorra,na
Gibraltar,na
Ivory Coast,41.0
Syria,na
Palau,na
Faeroe Islands,na
Ecuador,68.0
Czech Republic,na
Belarus,40.0
Iran,7.0
Algeria,na
El Salvador,72.0
Tuvalu,na
Marshall Islands,na
Chile,66.0
Puerto Rico,na
Belgium,na
Kiribati,na
Haiti,58.0
Belize,62.0
Gambia The,54.0
Sierra Leone,41.0
Georgia,76.0
Denmark,na
Philippines,51.0
Moldova,29.0
Morocco,37.0
Croatia,na
Mongolia,27.0
Guinea-Bissau,56.0
Thailand,71.0
Namibia,95.0
Grenada,na
Wallis and Futuna Islands,na
Iraq,na
Portugal,na
Estonia,na
Kosovo,na
Mexico,84.0
Lebanon,36.0
Uzbekistan,na
Tunisia,67.0
Djibouti,27.0
Rwanda,82.0
Antigua and Barbuda,na
Spain,na
Colombia,46.0
Reunion,na
Burundi,54.0
Fiji,87.0
Barbados,na
Korea Dem. People's Rep. of,na
Italy,na
Bhutan,24.0
Sudan,9.0
Nepal,24.0
Malta,na
Democratic Republic of the Congo,44.0
Netherlands,na
Suriname,53.0
Anguilla,na
Kuwait,na
Holy See,na
Israel,na
Indonesia,24.0
Malaysia,37.0
Iceland,na
Venezuela,79.0
Senegal,56.0
Papua New Guinea,68.0
Trinidad and Tobago,na
Zimbabwe,77.0
Germany,na
Macao SAR,na
Martinique,na
Micronesia Fed. States of,na
Kazakhstan,27.0
Poland,na
Eritrea,49.0
Ireland,na
Mayotte,na
Montserrat,na
New Caledonia,na
Sri Lanka,21.0
Latvia,18.0
Guyana,82.0
Saint-Pierre and Miquelon,na
Guadeloupe,na
Vanuatu,na
Honduras,41.0
Myanmar,32.0
Equatorial Guinea,na
Egypt,21.0
Nicaragua,65.0
Singapore,na
Serbia,65.0
Botswana,95.0
United Kingdom,na
Netherlands Antilles,na
Greece,na
Paraguay,69.0
French Guiana,na
Comoros,19.0
